time,x-axis,y-axis,z-axis
2.546455,3.9488,4.9354,-1.3434
2.562981,0.7421,2.3126,-1.8431
2.580209,-1.1683,4.2687,-1.7881
2.596614,-2.9582,3.1971,-1.9548
2.613821,-4.8395,0.8424,1.9503
2.630644,-4.3244,-1.3775,2.41
2.647609,-2.2239,0.1663,1.363
2.665057,-0.616,3.0916,0.8752
2.681735,0.2086,1.4036,0.0382
2.699389,1.086,-0.6492,1.3283
2.716599,0.0043,0.5357,3.2964
2.733518,-0.2272,0.8677,4.1735
2.750243,-0.7106,0.5467,4.124
2.767165,-0.3832,-0.012,3.1634
2.786369,0.4155,-0.2645,1.261
2.800652,1.477,-0.8076,-0.6853
2.818499,-0.3291,-0.2096,-1.7365
2.83521,-0.4799,-0.3403,-0.8428
2.852169,-0.6116,-0.0755,-0.6339
2.869005,-2.2503,-1.952,-4.3651
2.885968,-4.3946,-5.7443,-6.96
2.903292,-6.2019,-7.5212,-6.0206
2.920034,-6.6854,-5.9011,-5.1681
2.937081,-9.1825,-4.8052,-4.1447
2.954189,-7.43,-4.8255,-5.9516
2.971081,-9.1614,-6.3902,-4.3421
2.988223,-10.1685,-4.2764,-4.3287
3.00548,-8.8569,-4.644,-3.3682
3.022283,-7.307,-5.6552,-2.2473
3.039454,-3.8414,-3.4536,0.4675
3.056327,1.5753,-1.0859,3.2601
3.073867,5.9089,2.1154,4.4148
3.09058,9.3517,4.7895,2.6169
3.107759,14.8508,4.055,3.5683
3.125106,13.814,4.951,1.7357
3.143904,9.3887,6.0076,1.1949
3.160463,8.1701,6.6554,0.116
3.176604,7.798,6.5877,-0.4902
3.19273,7.835,6.6981,-0.1905
3.209501,8.1583,7.3392,1.0371
3.227804,9.2261,7.308,0.9811
3.244255,10.1627,7.4504,1.095
3.260528,10.4179,8.8723,2.0998
3.277684,6.6586,6.5519,4.2591
3.29515,2.8816,4.5814,6.1454
3.311817,2.9947,4.2374,4.4015
3.328819,4.3614,2.3675,-0.7406
3.345909,4.7043,3.9747,-0.4827
3.365869,3.2542,6.9844,0.7891
3.379936,4.3283,4.2302,0.6557
3.396867,5.3441,-0.2155,-2.7829
3.414022,1.5124,-1.976,-3.3206
3.430988,-2.1008,-5.3402,-1.7474
3.448075,-4.8912,-11.3512,4.9636
3.467111,-20.5321,-13.7406,-7.395
3.483252,-12.6946,-17.4097,-18.2546
3.499137,-11.9275,-13.926,-6.9134
3.516712,-14.3762,-7.3711,6.3168
3.533403,-8.9526,-7.0688,1.6889
3.550282,-5.817,-3.7256,-3.341
3.567616,1.8106,-6.7348,-6.8198
3.585304,9.9879,-6.7668,-3.7511
3.604144,1.7049,-6.1946,2.6988
3.61838,1.3015,-2.988,1.437
3.636718,2.4897,0.5671,0.0853
3.657609,1.9555,3.7956,0.8311
3.669848,2.3636,3.6268,-2.0555
3.68678,4.9421,4.6467,-0.2599
3.706619,4.2474,2.1242,-0.8246
3.720586,1.5377,2.1173,0.5739
3.737673,1.5685,3.9285,1.3471
3.756162,-0.8706,5.7951,0.918
3.771664,-1.4674,2.499,0.2686
3.788887,-1.6001,2.4078,-0.0592
3.805939,-4.7007,3.3185,1.3079
3.822972,-3.9926,3.9302,-1.1546
3.83986,-2.199,1.0725,0.4771
3.857122,-1.7044,-1.7461,2.4891
3.874022,-1.1359,-2.8695,1.1807
3.892849,0.9466,-1.8784,-0.8734
3.908068,2.2547,-1.1234,-0.2718
3.925491,2.4048,-1.0163,1.1224
3.942205,1.1308,0.7591,0.9236
3.959704,0.1454,3.0379,0.385
3.976319,0.5756,4.2288,-0.1088
3.993818,1.5588,6.6893,-2.0714
4.010205,0.1309,7.9372,-0.278
4.027389,0.2869,10.3164,-0.5887
4.044275,1.0056,8.4017,1.6261
4.061255,3.2055,0.0489,-2.3132
4.078359,-0.2006,-3.7484,-2.397
4.095911,-0.8498,0.4013,-1.266
4.112458,0.7576,3.2827,-2.4954
4.129551,1.1253,2.9405,-0.9036
4.146466,0.3055,2.196,-1.7262
4.163617,0.2094,-0.5981,-0.9324
4.180803,0.4021,-0.8896,-2.2702
